,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
010-015,1,1,1,1,1,1,1,1,1,1,1,1
015-020,1,1,1,1,1,1,1,1,1,1,1,1
020-025,1,1,1,1,1,1,1,1,1,1,1,1
025-030,1,1,1,1,1,1,1,1,1,1,1,1
030-035,1,1,1,1,1,1,1,1,1,1,1,1
035-040,1,1,1,1,1,1,1,1,1,1,1,1
040-045,1,1,1,1,1,1,1,1,1,1,1,1
045-050,0.8,1,1,1,1,1,1,1,1,1,1,1
050-055,0.5,1,1,1,1,1,1,1,1,1,1,1
055-060,0.2,0.8,1,1,1,1,1,1,1,1,1,1
060-065,0,0.5,0.8,1,1,1,1,1,1,1,1,1
065-070,0,0.2,0.5,0.8,1,1,1,1,1,1,1,1
070-075,0,0,0.2,0.5,1,1,1,1,1,1,1,1
075-080,0,0,0,0.2,0.8,1,1,1,1,1,1,1
080-085,0,0,0,0,0.5,0.8,1,1,1,1,1,1
085-090,0,0,0,0,0.2,0.5,0.8,1,1,1,1,1
090-095,0,0,0,0,0,0.2,0.5,0.8,1,1,1,1
095-100,0,0,0,0,0,0,0.2,0.5,0.8,1,1,1
100-105,0,0,0,0,0,0,0,0.2,0.5,0.8,0.8,1
105-110,0,0,0,0,0,0,0,0,0.2,0.5,0.5,0.8
110-115,0,0,0,0,0,0,0,0,0,0.2,0.2,0.5
115-120,0,0,0,0,0,0,0,0,0,0,0,0.2
120-125,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0