都道府県支庁コード,都道府県支庁,翻訳値
1,宗谷,ソウヤ
2,網走,アバシリ
3,根室,ネムロ
4,釧路,クシロ
5,十勝,トカチ
6,日高,ヒダカ
7,胆振,イブリ
8,渡島,オシマ
9,留萌,ルモイ
10,石狩,イシカリ
11,後志,シリベシ
12,桧山,ヒヤマ
13,青森,アオモリ
14,岩手,イワテ
15,宮城,ミヤギ
16,秋田,アキタ
17,山形,ヤマガタ
18,福島,フクシマ
19,茨城,イバラギ
20,千葉,チバ
21,東京,トウキョウ
22,神奈川,カナガワ
23,新潟,ニイガタ
24,富山,トヤマ
25,石川,イシカワ
26,福井,フクイ
27,静岡,シズオカ
28,愛知,アイチ
29,三重,ミエ
30,和歌山,ワカヤマ
31,京都,キョウト
32,大阪,オオサカ
33,兵庫,ヒョウゴ
34,鳥取,トットリ
35,島根,シマネ
36,岡山,オカヤマ
37,広島,ヒロシマ
38,山口,ヤマグチ
39,徳島,トクシマ
40,香川,カガワ
41,愛媛,エヒメ
42,高知,コウチ
43,福岡,フクオカ
44,佐賀,サガ
45,長崎,ナガサキ
46,熊本,クマモト
47,大分,オオイタ
48,宮崎,ミヤザキ
49,鹿児島,カゴシマ
50,沖縄,オキナワ
60,韓国,カンコク
61,中国,チュウゴク
98,北海道,ホッカイドウ
99,不明,フメイ